Date,Description,Withdrawal,Deposit
01/06/2026,UPI/Zomato/123456,450.00,
02/06/2026,ATM WDL/DEBIT CARD/MAIN BRANCH,2000.00,
03/06/2026,NEFT/ABC CORP/SALARY,,35000.00
04/06/2026,POS DEBIT/NETFLIX/MUMBAI,199.00,
05/06/2026,UPI/Uber Rides/987654,320.00,
06/06/2026,POS DEBIT/RELIANCE FRESH/HYD,1250.00,
08/06/2026,UPI/Amazon India/ORDER123,899.00,
10/06/2026,IMPS/Jio Fiber/INTERNET,999.00,
12/06/2026,UPI/Starbucks/COFFEE,350.00,
15/06/2026,NEFT/FREELANCE GIG/WEB DEV,,15000.00
18/06/2026,POS DEBIT/INOX MOVIES/TICKETS,600.00,
20/06/2026,UPI/Apollo Pharmacy/MEDS,450.00
